Nombre,Marca,Coste,Género,Url,web_origen
"
GEL-NIMBUS™ 23
",asics,"

180,00

",Hombre,https://www.asics.com/es/es-es/mens-shoes/c/as10200000/?sz=96&start=https://www.asics.com/es/es-es/gel-nimbus%E2%84%A2-23/p/1011B004-020.html,asics.com
"
GEL-KAYANO™ 27
",asics,"

180,00

",Hombre,https://www.asics.com/es/es-es/mens-shoes/c/as10200000/?sz=96&start=https://www.asics.com/es/es-es/gel-kayano%E2%84%A2-27/p/1011A767-401.html,asics.com
"
GEL-KAYANO™ 27
",asics,"

180,00

",Hombre,https://www.asics.com/es/es-es/mens-shoes/c/as10200000/?sz=96&start=https://www.asics.com/es/es-es/gel-kayano%E2%84%A2-27/p/1011A767-002.html,asics.com
"
GEL-NIMBUS™ 23
",asics,"

180,00

",Hombre,https://www.asics.com/es/es-es/mens-shoes/c/as10200000/?sz=96&start=https://www.asics.com/es/es-es/gel-nimbus%E2%84%A2-23/p/1011B004-002.html,asics.com
"
GEL-KAYANO™ 27 WIDE
",asics,"

180,00

",Hombre,https://www.asics.com/es/es-es/mens-shoes/c/as10200000/?sz=96&start=https://www.asics.com/es/es-es/gel-kayano%E2%84%A2-27-wide/p/1011A835-001.html,asics.com
"
MAGIC SPEED™
",asics,"

160,00

",Hombre,https://www.asics.com/es/es-es/mens-shoes/c/as10200000/?sz=96&start=https://www.asics.com/es/es-es/magic-speed%E2%84%A2/p/1011B026-600.html,asics.com
"
GEL-KAYANO™ 27 LITE-SHOW™
",asics,"

190,00

",Hombre,https://www.asics.com/es/es-es/mens-shoes/c/as10200000/?sz=96&start=https://www.asics.com/es/es-es/gel-kayano%E2%84%A2-27-lite-show%E2%84%A2/p/1011B146-400.html,asics.com
"
GEL-KAYANO™ 27
",asics,"

180,00

",Hombre,https://www.asics.com/es/es-es/mens-shoes/c/as10200000/?sz=96&start=https://www.asics.com/es/es-es/gel-kayano%E2%84%A2-27/p/1011A767-003.html,asics.com
"
NOVABLAST™
",asics,"

140,00

",Hombre,https://www.asics.com/es/es-es/mens-shoes/c/as10200000/?sz=96&start=https://www.asics.com/es/es-es/novablast%E2%84%A2/p/1011B239-400.html,asics.com
"
GEL-NIMBUS™ 23
",asics,"

180,00

",Hombre,https://www.asics.com/es/es-es/mens-shoes/c/as10200000/?sz=96&start=https://www.asics.com/es/es-es/gel-nimbus%E2%84%A2-23/p/1011B004-100.html,asics.com
"
GEL-NIMBUS™ 23
",asics,"

180,00

",Hombre,https://www.asics.com/es/es-es/mens-shoes/c/as10200000/?sz=96&start=https://www.asics.com/es/es-es/gel-nimbus%E2%84%A2-23/p/1011B004-001.html,asics.com
"
GEL-CUMULUS™ 22
",asics,"

140,00

",Hombre,https://www.asics.com/es/es-es/mens-shoes/c/as10200000/?sz=96&start=https://www.asics.com/es/es-es/gel-cumulus%E2%84%A2-22/p/1011B273-405.html,asics.com
