,Nombre,Marca,Coste,Género,Url,web_origen
0,"
Chuck Taylor All Star Classic High Top
			        ",Converse,"
70,00 
",Mujer,https://www.converse.com/eshttps://www.converse.com/es/regular/chuck-taylor-all-star-classic-high-top/ID00009MP.html?lang=es_ES,converse.com
1,"
Chuck Taylor All Star Classic Low Top
			        ",Converse,"
65,00 
",Mujer,https://www.converse.com/eshttps://www.converse.com/es/regular/chuck-taylor-all-star-classic-low-top/ID00008MP.html?lang=es_ES,converse.com
2,"
Chuck 70 Classic High Top
			        ",Converse,"
90,00 
",Mujer,https://www.converse.com/eshttps://www.converse.com/es/regular/chuck-70-classic-high-top/162050MP.html?lang=es_ES,converse.com
3,"
Chuck 70 Classic Low Top
			        ",Converse,"
85,00 
",Mujer,https://www.converse.com/eshttps://www.converse.com/es/regular/chuck-70-classic-low-top/162062MP.html?lang=es_ES,converse.com
4,"
Converse Color Chuck Taylor All Star High Top
			        ",Converse,"
70,00 
",Mujer,https://www.converse.com/eshttps://www.converse.com/es/regular/converse-color-chuck-taylor-all-star-high-top/170799MP.html?lang=es_ES,converse.com
5,"
Converse Color Chuck Taylor All Star High Top
			        ",Converse,"
70,00 
",Mujer,https://www.converse.com/eshttps://www.converse.com/es/regular/converse-color-chuck-taylor-all-star-high-top/170155MP.html?lang=es_ES,converse.com
6,"
Custom Chuck Taylor All Star High Top
			        ",Converse,"
90,00 
",Mujer,https://www.converse.com/eshttp://www.converse.com/es/dyo/custom-chuck-taylor-all-star-high-top/152620CSU21_blankcanvas.html?lang=es_ES,converse.com
7,"
Custom Chuck Taylor All Star Low Top
			        ",Converse,"
85,00 
",Mujer,https://www.converse.com/eshttp://www.converse.com/es/dyo/custom-chuck-taylor-all-star-low-top/152621CSU21_blankcanvas.html?lang=es_ES,converse.com
8,"
Converse Color Platform Chuck Taylor All Star High Top
			        ",Converse,"
85,00 
",Mujer,https://www.converse.com/eshttps://www.converse.com/es/regular/converse-color-platform-chuck-taylor-all-star-high-top/570433MP.html?lang=es_ES,converse.com
9,"
Converse Color Platform Chuck Taylor All Star Low Top
			        ",Converse,"
80,00 
",Mujer,https://www.converse.com/eshttps://www.converse.com/es/regular/converse-color-platform-chuck-taylor-all-star-low-top/570323MP.html?lang=es_ES,converse.com
10,"
Custom Chuck Taylor All Star Platform High Top
			        ",Converse,"
105,00 
",Mujer,https://www.converse.com/eshttp://www.converse.com/es/dyo/custom-chuck-taylor-all-star-platform-high-top/171209CSP21_blankcanvas.html?lang=es_ES,converse.com
11,"
Custom Chuck Taylor All Star Platform Low Top
			        ",Converse,"
100,00 
",Mujer,https://www.converse.com/eshttp://www.converse.com/es/dyo/custom-chuck-taylor-all-star-platform-low-top/171210CSP21_blankcanvas.html?lang=es_ES,converse.com
12,"
Canvas Broderie Platform Chuck Taylor All Star High Top
			        ",Converse,"
95,00 
",Mujer,https://www.converse.com/eshttps://www.converse.com/es/regular/canvas-broderie-platform-chuck-taylor-all-star-high-top/571282MP.html?lang=es_ES,converse.com
13,"
Canvas Broderie Platform Chuck Taylor All Star Low Top
			        ",Converse,"
90,00 
",Mujer,https://www.converse.com/eshttps://www.converse.com/es/regular/canvas-broderie-platform-chuck-taylor-all-star-low-top/571281MP.html?lang=es_ES,converse.com
14,"
Canvas Broderie Chuck Taylor All Star High Top
			        ",Converse,"
80,00 
",Mujer,https://www.converse.com/eshttps://www.converse.com/es/regular/canvas-broderie-chuck-taylor-all-star-high-top/571284MP.html?lang=es_ES,converse.com
15,"
Canvas Broderie Chuck Taylor All Star Low Top
			        ",Converse,"
75,00 
",Mujer,https://www.converse.com/eshttps://www.converse.com/es/regular/canvas-broderie-chuck-taylor-all-star-low-top/571283MP.html?lang=es_ES,converse.com
16,"
Archive Print Run Star Hike High Top
			        ",Converse,"
110,00 
",Mujer,https://www.converse.com/eshttps://www.converse.com/es/regular/archive-print-run-star-hike-high-top/170913MP.html?lang=es_ES,converse.com
