,Nombre,Marca,Coste,Género,Url,web_origen
0,Revolution 5,nike,"49,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/nike-revolution-5-0309435,sprinter.com
1,Duramo Sl,adidas,"44,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/adidas-duramo-sl-0306188,sprinter.com
2,Air Max Bella,nike,"74,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/nike-air-max-bella-0303899,sprinter.com
3,Ward,vans,"74,99 ",Mujer,https://www.sprintersports.com/zapatillas-de-mujer/vans-ward-0305602,sprinter.com
4,Chuck Taylor All Star,converse,"69,99 ",Mujer,https://www.sprintersports.com/zapatillas-de-mujer/converse-chuck-taylor-all-star-0310193,sprinter.com
5,Air Max Excee,nike,"89,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/nike-air-max-excee-0303921,sprinter.com
6,Chuck Taylor All Star Move,converse,"79,99 ",Mujer,https://www.sprintersports.com/zapatillas-de-mujer/converse-chuck-taylor-all-star-move-0310256,sprinter.com
7,Ultra 4.2,puma,"44,99 ",Mujer,https://www.sprintersports.com/botas-de-futbol-mujer/puma-ultra-4-2-0307890,sprinter.com
8,Ward,vans,"69,99 ",Mujer,https://www.sprintersports.com/zapatillas-de-mujer/vans-ward-0305647,sprinter.com
9,Wearallday,nike,"59,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/nike-wearallday-0309700,sprinter.com
10,Air Max Bolt,nike,"84,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/nike-air-max-bolt-0303869,sprinter.com
11,Court Legacy,nike,"49,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/nike-court-legacy-0309470,sprinter.com
12,Courtpoint Base,adidas,"49,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/adidas-courtpoint-base-0306176,sprinter.com
13,Ward,vans,"69,99 ",Mujer,https://www.sprintersports.com/zapatillas-de-mujer/vans-ward-0305648,sprinter.com
14,Lite Racer 2.0,adidas,"49,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/adidas-lite-racer-2-0-0306292,sprinter.com
15,Panache,fila,"39,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/fila-panache-0307818,sprinter.com
16,Advantage,adidas,"74,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/adidas-advantage-0306307,sprinter.com
17,Winflo 8,nike,"89,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/nike-winflo-8-0309412,sprinter.com
18,Court Bold,adidas,"49,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/adidas-court-bold-0306180,sprinter.com
19,Downshifter 11,nike,"54,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/nike-downshifter-11-0309584,sprinter.com
20,Runfalcon 2.0,adidas,"44,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/adidas-runfalcon-2-0-0306170,sprinter.com
21,X Ghosted 4,adidas,"44,99 ",Mujer,https://www.sprintersports.com/botas-de-futbol-mujer/adidas-x-ghosted-4-0306190,sprinter.com
22,Xray Square,puma,"69,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/puma-xray-square-0304830,sprinter.com
23,Winflo 8 Premium,nike,"99,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/nike-winflo-8-premium-0309413,sprinter.com
24,Chuck Taylor My Story,converse,"64,99 ",Mujer,https://www.sprintersports.com/zapatillas-de-mujer/converse-chuck-taylor-my-story-0304637,sprinter.com
25,Kaptir Super Boost,adidas,"89,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/adidas-kaptir-super-boost-0306287,sprinter.com
26,Ward Hi,vans,"79,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/vans-ward-hi-0305651,sprinter.com
27,Air Max Excee,nike,"99,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/nike-air-max-excee-0304098,sprinter.com
28,Court Bold,adidas,"49,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/adidas-court-bold-0306181,sprinter.com
29,Victori One,nike,"29,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/nike-victori-one-0307595,sprinter.com
30,Revolution 5,nike,"59,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/nike-revolution-5-0309409,sprinter.com
31,Victori One,nike,"29,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/nike-victori-one-0307598,sprinter.com
32,Courtpoint,adidas,"49,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/adidas-courtpoint-0306186,sprinter.com
33,Mc Trainer,nike,"64,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/nike-mc-trainer-0309533,sprinter.com
34,Quest 3,nike,"79,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/nike-quest-3-0309411,sprinter.com
35,Downshifter 11 Se,nike,"54,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/nike-downshifter-11-se-0309589,sprinter.com
36,Ultraboost 21,adidas,"169,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/adidas-ultraboost-21-0306242,sprinter.com
37,Mercurial Vapor 14 Fg,nike,"49,99 ",Mujer,https://www.sprintersports.com/botas-de-futbol-mujer/nike-mercurial-vapor-14-fg-0305255,sprinter.com
38,Air Max Excee,nike,"99,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/nike-air-max-excee-0303901,sprinter.com
39,Lite Racer 2.0,adidas,"49,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/adidas-lite-racer-2-0-0306291,sprinter.com
40,Victori One,nike,"29,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/nike-victori-one-0307596,sprinter.com
41,Skyway,fila,"39,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/fila-skyway-0307815,sprinter.com
42,Ward Hi,vans,"79,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/vans-ward-hi-0305652,sprinter.com
43,Ward,vans,"69,99 ",Mujer,https://www.sprintersports.com/zapatillas-de-mujer/vans-ward-0305649,sprinter.com
44,Predator Freak 3,adidas,"89,99 ",Mujer,https://www.sprintersports.com/botas-de-futbol-mujer/adidas-predator-freak-3-0306191,sprinter.com
45,Chuck Taylon Shoreline,converse,"49,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/converse-chuck-taylon-shoreline-0304597,sprinter.com
46,Runfalcon 2.0,adidas,"44,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/adidas-runfalcon-2-0-0306235,sprinter.com
47,Downshifter 11,nike,"54,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/nike-downshifter-11-0309573,sprinter.com
48,Adizero Boston 9,adidas,"129,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/adidas-adizero-boston-9-0306246,sprinter.com
49,Doheny,vans,"59,99 ",Mujer,https://www.sprintersports.com/zapatillas-de-mujer/vans-doheny-0305632,sprinter.com
50,X-ray Lite,puma,"59,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/puma-x-ray-lite-0297469,sprinter.com
51,Provoke Xt,puma,"89,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/puma-provoke-xt-0304807,sprinter.com
52,Galaxy 5,adidas,"44,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/adidas-galaxy-5-0306189,sprinter.com
53,Air Max Bella Tr 4,nike,"74,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/nike-air-max-bella-tr-4-0309673,sprinter.com
54,Runfalcon 2.0,adidas,"44,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/adidas-runfalcon-2-0-0306182,sprinter.com
55,Doheny,vans,"59,99 ",Mujer,https://www.sprintersports.com/zapatillas-de-mujer/vans-doheny-0305630,sprinter.com
56,Courtpoint Base,adidas,"49,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/adidas-courtpoint-base-0306172,sprinter.com
57,Air Max Sc,nike,"74,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/nike-air-max-sc-0309709,sprinter.com
58,Air Max Bella Tr 4,nike,"74,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/nike-air-max-bella-tr-4-0309671,sprinter.com
59,Superrep Go 2,nike,"89,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/nike-superrep-go-2-0309568,sprinter.com
60,Renew In Season Tr10,nike,"69,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/nike-renew-in-season-tr10-0309663,sprinter.com
61,Chuck Taylor All Star,converse,"84,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/converse-chuck-taylor-all-star-0310191,sprinter.com
62,X-ray Lite,puma,"59,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/puma-x-ray-lite-0297467,sprinter.com
63,Legend Essential 2,nike,"64,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/nike-legend-essential-2-0309532,sprinter.com
64,Downshifter 11,nike,"54,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/nike-downshifter-11-0309436,sprinter.com
65,Doheny,vans,"59,99 ",Mujer,https://www.sprintersports.com/zapatillas-de-mujer/vans-doheny-0305635,sprinter.com
66,Lunar Gato Ii,nike,"84,99 ",Mujer,https://www.sprintersports.com/botas-de-futbol-mujer/nike-lunar-gato-ii-0310271,sprinter.com
67,Air Max Bolt,nike,"89,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/nike-air-max-bolt-0304096,sprinter.com
68,Wearallday,nike,"59,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/nike-wearallday-0309698,sprinter.com
69,Renew,nike,"74,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/nike-renew-0309669,sprinter.com
70,Air Max Sc,nike,"74,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/nike-air-max-sc-0309706,sprinter.com
71,Terrex Agravic,adidas,"99,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/adidas-terrex-agravic-0308973,sprinter.com
72,City,nike,"44,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/nike-city-0309732,sprinter.com
73,Mercurial 8 Superfly Fg,nike,"249,99 ",Mujer,https://www.sprintersports.com/botas-de-futbol-mujer/nike-mercurial-8-superfly-fg-0305367,sprinter.com
74,Adizero Boston 9,adidas,"129,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/adidas-adizero-boston-9-0306244,sprinter.com
75,Asher,vans,"64,99 ",Mujer,https://www.sprintersports.com/zapatillas-de-mujer/vans-asher-0305643,sprinter.com
76,Air Max Sc,nike,"59,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/nike-air-max-sc-0309457,sprinter.com
77,Velocity,puma,"109,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/puma-velocity-0304752,sprinter.com
78,Supernova+,adidas,"109,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/adidas-supernova-0306275,sprinter.com
79,Lunar Gato Ii,nike,"84,99 ",Mujer,https://www.sprintersports.com/botas-de-futbol-mujer/nike-lunar-gato-ii-0310259,sprinter.com
80,Asher,vans,"59,99 ",Mujer,https://www.sprintersports.com/zapatillas-de-mujer/vans-asher-0305646,sprinter.com
81,R78 Metallic Fs,puma,"64,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/puma-r78-metallic-fs-0304813,sprinter.com
82,Chuck Taylor All Star,converse,"64,99 ",Mujer,https://www.sprintersports.com/zapatillas-de-mujer/converse-chuck-taylor-all-star-0310202,sprinter.com
83,Velocity,puma,"109,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/puma-velocity-0304753,sprinter.com
84,Copa Sense 3 Fg,adidas,"74,99 ",Mujer,https://www.sprintersports.com/botas-de-futbol-mujer/adidas-copa-sense-3-fg-0306453,sprinter.com
85,X Ghosted 3 Mg,adidas,"74,99 ",Mujer,https://www.sprintersports.com/botas-de-futbol-mujer/adidas-x-ghosted-3-mg-0306375,sprinter.com
86,Ultra 1.2,puma,"189,99 ",Mujer,https://www.sprintersports.com/botas-de-futbol-mujer/puma-ultra-1-2-0307892,sprinter.com
87,Victori One,nike,"24,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/nike-victori-one-0307604,sprinter.com
88,Air Zoom Vomero 15,nike,"139,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/nike-air-zoom-vomero-15-0309649,sprinter.com
89,Victori Print,nike,"32,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/nike-victori-print-0309725,sprinter.com
90,Downshifter 11,nike,"54,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/nike-downshifter-11-0309600,sprinter.com
91,Roguera,adidas,"64,99 ",Mujer,https://www.sprintersports.com/calzado-deportivo-mujer/adidas-roguera-0308975,sprinter.com
